City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.92,44.6,65,75,20.8,CL,1603199821
khatanga,71.97,102.5,7.9,95,82,8.9,RU,1603199883
ushuaia,-54.8,-68.3,39.2,69,75,21.92,AR,1603199799
cabo san lucas,22.89,-109.91,77.0,69,5,11.41,MX,1603200107
norman wells,65.28,-126.83,15.8,92,75,8.05,CA,1603200204
saint-louis,16.33,-15.0,100.4,31,91,6.93,SN,1603200205
murray bridge,-35.12,139.27,52.0,96,55,4.88,AU,1603200206
puerto ayora,-0.74,-90.35,70.0,89,97,8.99,EC,1603199862
rikitea,-23.12,-134.97,73.17,79,13,12.68,PF,1603199803
saint-philippe,-21.36,55.77,79.0,69,20,19.46,RE,1603199851
kushiro,42.98,144.37,44.15,82,0,6.24,JP,1603200212
hermanus,-34.42,19.23,64.0,61,0,7.0,ZA,1603199798
kapaa,22.08,-159.32,73.0,80,21,8.52,US,1603199852
santa maria,-29.68,-53.81,80.51,56,0,5.73,BR,1603199989
villarrica,-25.75,-56.43,88.92,44,0,4.85,PY,1603200216
clyde river,70.47,-68.59,24.31,89,23,9.31,CA,1603199801
busselton,-33.65,115.33,60.01,59,75,11.97,AU,1603199874
gat,31.61,34.76,84.99,47,0,14.03,IL,1603200039
sao joao da barra,-21.64,-41.05,78.8,65,75,13.87,BR,1603200099
porto novo,6.5,2.6,84.2,79,40,13.87,BJ,1603199865
westport,41.14,-73.36,62.6,93,90,5.82,US,1603200224
oksfjord,70.24,22.35,37.4,86,40,3.36,NO,1603200225
cape town,-33.93,18.42,66.2,48,11,8.05,ZA,1603199700
gorele,41.03,39.0,62.6,93,75,4.7,TR,1603199984
mataura,-46.19,168.86,46.99,83,86,1.92,NZ,1603199808
yellowknife,62.46,-114.35,25.0,92,68,4.72,CA,1603199887
halifax,44.65,-63.57,62.01,100,90,5.82,CA,1603200108
georgetown,5.41,100.34,86.0,74,20,3.36,MY,1603199790
butaritari,3.07,172.79,81.73,75,100,11.39,KI,1603199806
vaini,-21.2,-175.2,69.8,77,20,6.93,TO,1603200012
jamestown,42.1,-79.24,48.0,100,90,12.75,US,1603199848
barra patuca,15.8,-84.28,80.2,79,99,9.98,HN,1603200236
lompoc,34.64,-120.46,55.4,93,90,4.97,US,1603199588
paramirim,-13.44,-42.24,88.25,39,100,4.74,BR,1603200238
dryden,49.78,-92.75,21.2,85,20,5.82,CA,1603200240
klaksvik,62.23,-6.59,44.6,73,59,17.22,FO,1603200241
kathmandu,27.72,85.32,71.6,73,75,8.05,NP,1603200102
nema,57.51,50.5,36.88,81,100,9.37,RU,1603200243
namibe,-15.2,12.15,77.0,65,40,17.22,AO,1603199839
souillac,-20.52,57.52,78.8,69,40,12.75,MU,1603200245
pella,59.78,30.82,37.4,76,75,4.47,RU,1603200246
tabuk,17.42,121.44,73.76,93,100,16.04,PH,1603200079
broken hill,-31.95,141.43,62.6,36,95,6.69,AU,1603200248
sao filipe,14.9,-24.5,87.19,53,74,10.6,CV,1603200021
saint-pierre,-21.34,55.48,79.0,69,20,19.46,RE,1603200020
lorengau,-2.02,147.27,81.66,70,100,2.86,PG,1603200023
sohbatpur,28.52,68.54,82.17,11,0,7.36,PK,1603200254
torbay,47.67,-52.73,57.0,76,91,3.0,CA,1603199956
rudbar,30.15,62.6,73.83,17,0,9.19,AF,1603200256
castro,-24.79,-50.01,73.9,63,20,6.31,BR,1603199841
mount gambier,-37.83,140.77,46.4,87,100,5.82,AU,1603200259
